Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Repusudan Dayal,Male,1941-05-18T00:00:00Z,NA,NA,1984-05-10T00:00:00Z,2003-05-18T00:00:00Z,No,No,Sikkim,Yes,Allahabad,1995-10-18T00:00:00Z,Calcutta,1997-07-21T00:00:00Z,NA,NA,Yes,Sikkim,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,1962,NA,No,No,No,Allahabad
Bhupendra Kumar Rathi,Male,1941-05-25T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2003-05-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Agra University,Science,Agra University,1961,1962,Uttar Pradesh,No,No,No,Allahabad
Dhani Ram Chaudhary,Male,1941-07-24T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2003-07-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
Onkareshwar Bhatt,Male,1942-03-29T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2004-03-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Allahabad University,Arts,Allahabad University,NA,1962,Uttar Pradesh,No,Yes,No,Allahabad
Shitla Prasad Srivastava,Male,1942-06-13T00:00:00Z,NA,NA,1995-04-05T00:00:00Z,2001-01-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,NA,NA,NA,NA,Yes,NA,Allahabad
Uma Shankar Tripathi,Male,1942-07-04T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2004-07-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Allahabad University,Arts,Allahabad University,NA,NA,NA,No,No,No,Allahabad
Ghanshyam Dass,Male,1942-08-07T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2004-08-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,PASSED LLB IN THE YEAR 1966 AND M.A IN THE YEAR 1968 FROM AGRA UNIVERSITY,Agra University,NA,AGRA UNIVERSITY,1966,NA,NA,No,Yes,No,Allahabad
Devendra Gupta,Male,1942-09-03T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2004-09-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,POST GRADUTED IN  COMMERCE IN THE YEAR 1963 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY,Allahabad University,COMMERCE,ALLAHABAD UNIVERSITY,1966,1967,Uttar Pradesh,No,Yes,No,Allahabad
Vishnu Vishnu Sahai,Male,1942-12-30T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,2004-12-29T00:00:00Z,No,No,Allahabad,Yes,Bombay,1994-02-21T00:00:00Z,Allahabad,2002-04-08T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Uttar Pradesh,No,No,No,Allahabad
Mahendra Pratap Singh,Male,1943-01-03T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-01-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN SCIENCE IN THE YEAR 1963 FROM AGRA UNIVERSITY AND PASSED LL.B IN THE YEAR 1965 FROM GORAKHPUR UNIVERSITY,Agra University,Science,Gorakhpur University,1965,NA,NA,No,Yes,No,Allahabad
Radhey Shyam Tripathi,Male,1943-02-15T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2005-02-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUTED IN ARTS IN THE YEAR 1961 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,Allahabad University,1966,NA,NA,No,No,No,Allahabad
Kamal Kishore,Female,1943-03-09T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2005-03-08T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Banaras Hindu University,Arts,Allahabad University,1963,1964,Uttar Pradesh,No,Yes,No,Allahabad
Yogendra Ram Tripathi,Male,1943-07-12T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-07-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN COMMERCE IN THE YEAR 1961 FROM GORAKHPUR UNIVERSITY AND PASSED LLB IN THE YEAR 1963 FROM ST. ANDREW'S COLLEGE GORAKHPUR,Gorakhpur University,Commerce,"St. Andrew's College, Gorakhpur",1963,NA,NA,No,No,No,Allahabad
Venkteshwar Singh,Male,1943-07-22T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-07-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN ARTS IN THE YEAR 1961 FROM BANARAS HINDU UNIVERSITY AND PASSED LLB IN THE YEAR 1963 FROM GORAKHPUR UNIVERSITY,Banaras Hindu University,Arts,GORAKHPUR UNIVERSITY,1963,1963,NA,No,No,No,Allahabad
Khem Karan,Male,1943-08-01T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2005-07-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
Pranav Chatterji,Male,1943-08-28T00:00:00Z,West Bengal,NA,2002-07-05T00:00:00Z,2005-08-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE AND PASSED LLB,NA,SCIENCE,NA,NA,NA,NA,No,No,No,Allahabad
Ramesh Chandra Pandey,Male,1943-08-31T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-08-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN ARTS IN THE YEAR 1961 FROM ALLAHABAD UNIVERSITY AND PASSED LL.B IN THE YEAR 1963 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1963,1964,NA,No,No,No,Allahabad
Gopal Gupta,Male,1943-11-11T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-11-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1961 FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1963 FROM LUCKNOW UNIVERSITY,Lucknow University,Arts,LUCKNOW UNIVERSITY,1963,NA,NA,No,No,No,Allahabad
Shashi Kant Agarwal,Male,1943-11-15T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,NA,No,No,Allahabad,Yes,Jharkhand,2005-01-05T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Allahabad University,NA,Allahabad Universiity,1971,1971,Uttar Pradesh,No,No,No,Allahabad
Dilip Kumar Seth,Male,1943-11-24T00:00:00Z,NA,NA,1994-12-19T00:00:00Z,2005-11-23T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1995-01-09T00:00:00Z,Calcutta,2000-08-04T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,NA,NA,1968,NA,NA,Yes,No,Allahabad
Mohammed Asghar Khan,Male,1943-12-01T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2005-11-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Shiv Kishor Keshote,Male,1944-01-01T00:00:00Z,Rajasthan,NA,1994-01-31T00:00:00Z,2006-01-03T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,1994-02-17T00:00:00Z,Gujarat,1994-12-13T00:00:00Z,Rajasthan,2001-05-27T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Rajasthan,NA,NA,NA,Allahabad
Narendra Mehrotra,Male,1944-03-01T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2024-10-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARRTS IN THE YEAR 1964 FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1966 FROM LUCKNOW UNIVERSITY,Lucknow University,Arts,LUCKNOW UNIVERSITY,1966,NA,NA,No,Yes,No,Allahabad
Chakravarti Mishra,Male,1944-04-03T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2006-04-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1965,NA,NA,No,Yes,No,Allahabad
Ram Prasad Yadav,Male,1944-07-15T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2006-07-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN SHASTRY IN THE YEAR 1961 AND LAW IN THE YEAR 1964,NA,Shashtry,NA,1964,NA,NA,No,No,No,Allahabad
Shailendra Saksena,Male,1944-12-24T00:00:00Z,Uttar Pradesh,NA,2004-12-03T00:00:00Z,2006-12-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN SCIENCE IN THE YEAR 1962 FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1964 FROM LUCKNOW UNIVERSITY,Lucknow University,SCIENCE,LUCKNOW UNIVERSITY,1964,NA,NA,No,No,No,Allahabad
Vijai Bajpai,Male,1945-01-15T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2007-01-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1964 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM AGRA UNIVERSITY,Allahabad University,Arts,AGRA UNIVERSITY,1968,NA,NA,No,Yes,No,Allahabad
Bhanwar Singh,Male,1945-02-01T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2007-01-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,NA,NA,No,No,Yes,Allahabad
Bharat Agrawal,Male,1945-02-08T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2007-02-07T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1964 FROM AGRA UNIVERSITY UNIVERSITY AND PASSED LLB IN THE YEAR 1967 FROM AGRA  UNIVERSITY,Agra University,SCIENCE,AGRA UNIVERSITY,1967,NA,NA,No,No,No,Allahabad
Ajay Kumar Yog,Male,1945-03-11T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2007-03-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,Yes,No,NA,Lucknow University,NA,Lucknow University,1966,1969,Uttar Pradesh,No,Yes,No,Allahabad
Umeshwar Pandey,Male,1945-04-01T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2007-03-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,NA,NA,No,Yes,No,Allahabad
Om Prakash Srivastava,Male,1945-06-10T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2007-06-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN LAW IN THE YEAR 1967  FROM LUCKNOW UNIVERSITY,Lucknow University,NA,Lucknow University,1967,NA,NA,No,No,No,Allahabad
Ram Prakash Misra,Male,1945-06-15T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2007-06-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Ewing Christian College,Science,Allahabad Universiity,1969,1969,Uttar Pradesh,No,No,No,Allahabad
Mukteshwar Prasad,Male,1945-07-01T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2008-07-26T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUTED IN SCIENCE IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR  1968 FROM LUCKNOW UNIVERSITY,Allahabad University,SCIENCE,LUCKNOW UNIVERSITY,1968,NA,NA,No,No,No,Allahabad
Onkar Khandelwal,Male,1945-07-07T00:00:00Z,Uttar Pradesh,NA,2004-12-03T00:00:00Z,2007-07-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,NA,NA,No,No,No,Allahabad
Shambhu Nath Srivastava,Male,1945-09-05T00:00:00Z,NA,NA,2002-02-14T00:00:00Z,2007-09-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED M.A LL.B,NA,NA,NA,NA,1968,Uttar Pradesh,No,Yes,No,Allahabad
Vashishth Kumar Chaturvedi,Male,1945-09-10T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2007-09-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1971,Uttar Pradesh,NA,NA,NA,Allahabad
