Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in SubordiNot Applicablete Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Sanjay Karol,Male,1961-08-23T00:00:00Z,Himachal Pradesh,Shimla,2007-03-08T00:00:00Z,2023-08-22T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Patna,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,"St. Edward's, Shimla",Govt. Degree College Shimla,Not Available,Himachal Pradesh University,Not Available,1986,Himachal Pradesh,No,No,No
Rajeev Sharma,Male,1958-10-08T00:00:00Z,Himachal Pradesh,Not Available,2007-04-03T00:00:00Z,2020-10-07T00:00:00Z,No,No,Himachal Pradesh,Yes,Uttarakhand,2016-09-26T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Himachal pradesh university,Not Available,1982,Himachal Pradesh,No,No,No
Deepak Gupta,Male,1955-05-07T00:00:00Z,Himachal Pradesh,Nurpur,2004-10-04T00:00:00Z,2020-05-06T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Tripura,Chhattisgarh,Not Applicable,Yes,2002-02-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,St. Edward's Shimla,SDB College Shimla,Not Available,Delhi University,1978,1978,Himachal Pradesh,No,No,No
Raj Kumar Mahajan,Male,1936-10-09T00:00:00Z,Not Available,Not Available,1995-09-12T00:00:00Z,1998-10-08T00:00:00Z,No,No,Himachal Pradesh,Yes,Allahabad,1995-09-29T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1959,Not Available,No,No,No
A.K. Goel,Male,1943-10-15T00:00:00Z,Not Available,Not Available,1995-11-30T00:00:00Z,2005-10-14T00:00:00Z,No,No,Himachal Pradesh,Yes,J&K  and Ladakh,1997-12-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Panjab University,Not Available,Not Available,Not Available,No,No,No
R.L. Khurana,Male,1942-11-03T00:00:00Z,Not Available,Not Available,1995-11-30T00:00:00Z,2004-11-02T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,No,No,No
Prem Krishnan Palli,Male,1936-10-26T00:00:00Z,Not Available,Not Available,1994-02-14T00:00:00Z,1998-10-25T00:00:00Z,No,No,Punjab and Haryana,Yes,Rajasthan,1994-03-01T00:00:00Z,Himachal Pradesh,1996-04-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1961,Punjab Haryana Chandigarh,No,No,No
Surinder Sarup,Male,1938-04-21T00:00:00Z,Not Available,Not Available,1994-07-20T00:00:00Z,2000-04-20T00:00:00Z,No,No,Punjab and Haryana,Yes,Patna,1994-07-21T00:00:00Z,Himachal Pradesh,1996-04-06T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab Haryana Chandigarh,No,No,No
M.R. Verma,Male,1943-06-30T00:00:00Z,Not Available,Not Available,1999-05-17T00:00:00Z,2005-06-29T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Passed matriculation examination of Punjab University in 1959,Panjab University,Arts,Agra University,1966,1967,Not Available,No,No,No
Kuldeep Chand Sood,Male,1944-04-12T00:00:00Z,Not Available,Not Available,2000-02-08T00:00:00Z,2006-04-11T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Punjab University,Not Available,Not Available,Not Available,1968,Pnajab Haryana Chandigarh,No,No,No
V.M. Jain,Male,1945-11-19T00:00:00Z,Not Available,Not Available,1999-02-08T00:00:00Z,2006-02-23T00:00:00Z,Yes,No,Punjab and Haryana,Yes,Himachal Pradesh,2005-02-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Panjab Haryana Chandigarh,No,No,No
Abhilasha Kumari,Female,1956-02-23T00:00:00Z,Not Available,Not Available,2005-12-02T00:00:00Z,2018-02-22T00:00:00Z,No,No,Himachal Pradesh,Yes,Gujarat,2006-01-05T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Loreto Convent, Shimla","Indraprastha college, Delhi",Arts (English),Himachal Pradesh University,Not Available,1984,Himachal Pradesh,No,No,No
Surjit Singh,Male,1949-12-18T00:00:00Z,Haryana,"Shahzadpur, Ambala",2005-04-11T00:00:00Z,2011-12-16T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,MRSD High School,Panjab University,Not Available,Panjab University,1973,Not Applicable,Not Applicable,No,No,No
V.K. Ahuja,Male,1951-03-24T00:00:00Z,Not Available,Not Available,2006-10-04T00:00:00Z,2013-03-23T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,"SRCC, Delhi Univrsity",Commerce,Delhi University,1973,1973,Delhi,No,No,No
R.B. Misra,Male,1951-08-01T00:00:00Z,Not Available,Not Available,2001-04-24T00:00:00Z,2013-07-31T00:00:00Z,No,No,Allahabad,Yes,Gauhati,2005-01-05T00:00:00Z,Himachal Pradesh,2008-04-29T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Allahabad University,Science,Allahabad University,1974,1986,Uttar Pradesh,No,Yes,No
Surinder Singh,Male,1951-09-23T00:00:00Z,Himachal Pradesh,"Rajgarh, Sirmaur",2006-11-27T00:00:00Z,2013-09-22T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Panjab University,Not Available,Meerut University,1973,Not Available,Himachal Pradesh,No,No,No
Kuldip Singh,Male,1952-01-17T00:00:00Z,Not Available,Not Available,2007-04-03T00:00:00Z,2014-01-16T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,Panjab University,Not Available,1975,Himachal Pradesh,No,No,No
Dev Darshan Sud,Male,1952-02-18T00:00:00Z,Himachal Pradesh,Kangra,2006-11-27T00:00:00Z,2014-02-17T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,St. Edwards Shimla,Panjab University,Commerce,Himachal Pradesh University,1977,Not Available,Not Available,No,No,Yes
V.K. Sharma,Male,1952-08-08T00:00:00Z,Not Available,Not Available,2010-01-07T00:00:00Z,2014-08-07T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,"GGDSD College, Baijnath",Not Available,Not Available,Not Available,1976,Himachal Pradesh,No,No,No
P.S. Rana,Male,1955-08-13T00:00:00Z,Not Available,Not Available,2014-05-05T00:00:00Z,2017-01-02T00:00:00Z,No,Yes,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Yes,No
Dharam Chand Chaudhary,Male,1958-03-12T00:00:00Z,Himachal Pradesh,Mandi,2012-01-21T00:00:00Z,2020-03-11T00:00:00Z,No,No,Himachal Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,"Govt. High School, Hatgarh","Govt degree college, Kullu",Not Available,Himachal Pradesh University,1983,1983,Himachal Pradesh,No,No,No
