Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Sohan Lal Saraf,Male,1937-06-04T00:00:00Z,Not Available,Not Available,1994-12-19T00:00:00Z,1999-06-03T00:00:00Z,No,No,Calcutta,Yes,Gauhati,1995-01-09T00:00:00Z,Allahabad,1997-03-03T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Allahabad,
Ashok Kumar Srivastava,Male,1937-07-01T00:00:00Z,Not Available,Not Available,1994-09-29T00:00:00Z,1999-07-01T00:00:00Z,No,No,Allahabad,Yes,Delhi,1994-10-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Lucknow University,1957,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Mohan Lal Singhal,Male,1938-07-10T00:00:00Z,Not Available,Not Available,1997-02-03T00:00:00Z,2000-07-09T00:00:00Z,No,No,Allahabad,Yes,Gauhati,2000-07-10T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Allahabad,
Bhagwan Din,Male,1939-12-15T00:00:00Z,Not Available,Not Available,1996-11-19T00:00:00Z,2001-12-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lucknow University,Not Available,1965,Uttar Pradesh,No,No,No,Allahabad,
Pramod Kumar Jain,Male,1939-12-21T00:00:00Z,Not Available,Not Available,1996-11-19T00:00:00Z,2001-12-20T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Uttar Pradesh,No,No,No,Allahabad,
Satish Kumar Jain-II,Male,1940-01-24T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2002-01-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,J.V Jain College,Arts,J.V Jain College,Not Available,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Naseemuddin,Male,1940-06-06T00:00:00Z,Not Available,Not Available,2021-03-25T00:00:00Z,2021-12-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Commerce,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Allahabad,
Jagdish Chandra Gupta,Male,1940-08-27T00:00:00Z,Not Available,Not Available,1996-03-22T00:00:00Z,2002-08-27T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Uttar Pradesh,No,No,No,Allahabad,
Shyamal Kumar Sen,Male,1940-11-25T00:00:00Z,West Bengal,Kolkata,1986-02-17T00:00:00Z,2002-11-24T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2000-05-08T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Allahabad,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,"Sailendra Sircar Vidyalaya, Kolkata.","Scottish Church College, Calcutta University.",Not Available,"Department of Law, Calcutta University",Not Available,Not Available,West Bengal,No,No,No,Allahabad,
Lakshmi Bihari,Male,1941-03-02T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-03-01T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Science,Allahabad University,Not Available,1969,Uttar Pradesh,No,No,No,Allahabad,
Raisul Zaidi,Male,1941-05-01T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2003-04-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Uttar Pradesh,No,No,No,Allahabad,
Ramesh Dutt Shukla,Male,1941-05-16T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-05-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad,
Repusudan Dayal,Male,1941-05-18T00:00:00Z,Not Available,Not Available,1984-05-10T00:00:00Z,2003-05-18T00:00:00Z,No,No,Sikkim,Yes,Allahabad,1995-10-18T00:00:00Z,Calcutta,1997-07-21T00:00:00Z,Not Applicable,Not Applicable,Yes,Sikkim,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Not Available,No,No,No,Allahabad,
Bhupendra Kumar Rathi,Male,1941-05-25T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-05-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Agra University,Science,Agra University,1961,1962,Uttar Pradesh,No,No,No,Allahabad,
Dhani Ram Chaudhary,Male,1941-07-24T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2003-07-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Allahabad,
Onkareshwar Bhatt,Male,1942-03-29T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2004-03-28T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,Allahabad University,Not Available,1962,Uttar Pradesh,No,Yes,No,Allahabad,
Shitla Prasad Srivastava,Male,1942-06-13T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2001-01-04T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad University,Not Available,Not Applicable,Not Applicable,Not Available,Yes,Not Available,Allahabad,
Uma Shankar Tripathi,Male,1942-07-04T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2004-07-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,Allahabad University,Not Available,Not Applicable,Not Applicable,No,No,No,Allahabad,
Ghanshyam Dass,Male,1942-08-07T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2004-08-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,Not Available,AGRA UNIVERSITY,1966,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Devendra Gupta,Male,1942-09-03T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2004-09-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,COMMERCE,ALLAHABAD UNIVERSITY,1966,1967,Uttar Pradesh,No,Yes,No,Allahabad,
Vishnu Vishnu Sahai,Male,1942-12-30T00:00:00Z,Not Available,Not Available,1994-02-01T00:00:00Z,2004-12-29T00:00:00Z,No,No,Allahabad,Yes,Bombay,1994-02-21T00:00:00Z,Allahabad,2002-04-08T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Uttar Pradesh,No,No,No,Allahabad,
Mahendra Pratap Singh,Male,1943-01-03T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-01-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,Science,Gorakhpur University,1965,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Radhey Shyam Tripathi,Male,1943-02-15T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2005-02-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,Allahabad University,1966,Not Available,Not Available,No,No,No,Allahabad,
Kamal Kishore,Female,1943-03-09T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2005-03-08T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,BaNot Availableras Hindu University,Arts,Allahabad University,1963,1964,Uttar Pradesh,No,Yes,No,Allahabad,
Yogendra Ram Tripathi,Male,1943-07-12T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-07-11T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Gorakhpur University,Commerce,"St. Andrew's College, Gorakhpur",1963,Not Applicable,Not Applicable,No,No,No,Allahabad,
Venkteshwar Singh,Male,1943-07-22T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-07-21T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,BaNot Availableras Hindu University,Arts,GORAKHPUR UNIVERSITY,1963,1963,Not Available,No,No,No,Allahabad,
Khem Karan,Male,1943-08-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2005-07-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad,
Pranav Chatterji,Male,1943-08-28T00:00:00Z,West Bengal,Not Available,2002-07-05T00:00:00Z,2005-08-27T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,SCIENCE,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Allahabad,
Ramesh Chandra Pandey,Male,1943-08-31T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-08-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1963,1964,Not Available,No,No,No,Allahabad,
Gopal Gupta,Male,1943-11-11T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-11-10T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Lucknow University,Arts,LUCKNOW UNIVERSITY,1963,Not Applicable,Not Applicable,No,No,No,Allahabad,
Shashi Kant Agarwal,Male,1943-11-15T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,Not Available,No,No,Allahabad,Yes,Jharkhand,2005-01-05T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Not Available,Allahabad Universiity,1971,1971,Uttar Pradesh,No,No,No,Allahabad,
Dilip Kumar Seth,Male,1943-11-24T00:00:00Z,Not Available,Not Available,1994-12-19T00:00:00Z,2005-11-23T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1995-01-09T00:00:00Z,Calcutta,2000-08-04T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1968,Not Available,Not Available,Yes,No,Allahabad,
Mohammed Asghar Khan,Male,1943-12-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2005-11-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Allahabad,
Shiv Kishor Keshote,Male,1944-01-01T00:00:00Z,Rajasthan,Not Available,1994-01-31T00:00:00Z,2006-01-03T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,1994-02-17T00:00:00Z,Gujarat,1994-12-13T00:00:00Z,Rajasthan,2001-05-27T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Rajasthan,Not Available,Not Available,Not Available,Allahabad,
Narendra Mehrotra,Male,1944-03-01T00:00:00Z,Uttar Pradesh,Not Available,2018-11-22T00:00:00Z,2024-10-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Lucknow University,Arts,LUCKNOW UNIVERSITY,1966,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Chakravarti Mishra,Male,1944-04-03T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2006-04-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1965,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
Ram Prasad Yadav,Male,1944-07-15T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2006-07-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Shashtry,Not Available,1964,Not Applicable,Not Applicable,No,No,No,Allahabad,
Shailendra Saksena,Male,1944-12-24T00:00:00Z,Uttar Pradesh,Not Available,2004-12-03T00:00:00Z,2006-12-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Lucknow University,SCIENCE,LUCKNOW UNIVERSITY,1964,Not Available,Not Available,No,No,No,Allahabad,
Vijai Bajpai,Male,1945-01-15T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2007-01-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,AGRA UNIVERSITY,1968,Not Applicable,Not Applicable,No,Yes,No,Allahabad,
