Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Ajit Singh,Male,1961-03-30T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2023-03-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad university,1985,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Akhilesh Chandra Sharma,Male,1956-03-19T00:00:00Z,Uttar Pradesh,NA,2017-08-07T00:00:00Z,2018-03-18T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Meerut University,1977,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Akhtar Khan,Male,1954-01-10T00:00:00Z,Uttar Pradesh,NA,2014-02-03T00:00:00Z,2016-01-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ali Zamin,Male,1961-01-01T00:00:00Z,Uttar Pradesh,NA,2019-05-06T00:00:00Z,2022-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,1983,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Allah Raham,Male,1946-07-22T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2008-07-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,"GRADUATED IN ARTS IN THE YEAR 1966 , PASSED LLB  IN THE YEAR 1968 AND LLM IN THE 1972",NA,NA,NA,1972,NA,NA,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Alok Kumar Mukherjee,Male,1955-01-18T00:00:00Z,Uttar Pradesh,NA,2016-04-07T00:00:00Z,2017-01-17T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Gorakhpur University,1976,1977,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Alok Kumar Singh,Male,1948-06-24T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2010-06-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN HISTORY IN THE YEAR AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,NA,History,Allahabad university,1968,NA,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Alok Mathur,Male,1964-11-16T00:00:00Z,NA,NA,2018-11-22T00:00:00Z,2026-11-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Hindu College,Chemistry,Delhi University,1989,1989,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Alok Singh,Male,1959-04-28T00:00:00Z,Uttrakhand,NA,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttrakhand,Yes,Punjab & Haryana,2009-12-21T00:00:00Z,Jharkhand,2012-06-13T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,M.S. College,Science,NA,1982,1982,Uttar Pradesh,No,No,No,Allahabad,Uttarakhand,PunjabandHaryana,Jharkhand,Uttarakhand
Aloke Chakrabarti,Male,1943-07-15T00:00:00Z,West Bengal,Kolkata,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Paul's C.M College,Science,"University College of Law, Calcutta",1966,NA,NA,No,No,NA,Allahabad,NA,NA,NA,NA
Amar Singh Gill,Male,NA,Punjab,NA,1994-06-20T00:00:00Z,2003-05-19T00:00:00Z,No,No,Punjab and haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,PunjabandHaryana,Allahabad,NA,NA
Amar Nath Varma,Male,1947-04-07T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2009-04-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,GRADUATED IN THE YEAR 1972FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1975 FROM LUCKNOW UNIVERSITY,Lucknow University,NA,Lucknow University,1975,1975,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Amar Saran,Male,1953-03-22T00:00:00Z,Uttar Pradesh,NA,2002-12-20T00:00:00Z,2015-03-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Amar Singh Chauhan,Male,1956-06-03T00:00:00Z,Uttar Pradesh,NA,2015-02-18T00:00:00Z,2018-06-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Kanpur University,1979,1980,Uttar Pradesh,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Ambati Lakshmana Rao,Male,1934-01-14T00:00:00Z,NA,NA,1982-12-10T00:00:00Z,1996-01-14T00:00:00Z,No,No,Andra Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Allahabad,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,1959,NA,NA,NA,No,Allahabad,AndhraPradesh,NA,NA,NA
Amitava Lala,Male,1950-11-20T00:00:00Z,West Bengal,NA,1997-05-12T00:00:00Z,2012-11-19T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2005-01-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN BOTH SCIENCE AND ARTS IN THE YEAR 1968 AND 1973 AND PASSED LLB IN THE YEAR 1974 FROM CALCUTTA UNIVERSITY,Calcutta University,ARTS AND SCIENCE,CALCUTTA UNIVERSITY,1974,1975,West Bengal,No,No,No,Allahabad,Calcutta,Allahabad,NA,NA
Amreshwar Pratap Sahi,Male,1959-01-01T00:00:00Z,Uttar Pradesh,NA,2004-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Patna,Madras,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED IN LAW IN THE YEAR 1985,NA,NA,NA,1985,1985,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anant Kumar,Male,1958-06-07T00:00:00Z,Uttar Pradesh,NA,2014-02-03T00:00:00Z,2020-06-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Awadh University,1979,1980,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Kumar,Male,1958-08-09T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2020-08-08T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Lucknow University,1983,1983,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Agrawal,Male,1952-08-15T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2014-08-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Kumar IX,Male,1959-05-31T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2021-05-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Kumar Ojha,Male,1960-07-02T00:00:00Z,NA,NA,2021-03-25T00:00:00Z,2022-07-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Kumar Sharma,Male,1953-04-19T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2015-04-18T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Meerut University,1975,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anil Kumar Srivastava-II,Male,1956-09-21T00:00:00Z,Uttar Pradesh,NA,2016-04-07T00:00:00Z,2018-09-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Bundhelkhand University,1977,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Aniruddha Singh,Male,1958-01-01T00:00:00Z,Uttar Pradesh,NA,2017-07-07T00:00:00Z,2019-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,1980,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anjani Kumar,Male,1946-09-14T00:00:00Z,Uttar Pradesh,NA,2001-04-24T00:00:00Z,2008-09-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,GRADUATED ARTSIN 1966 AND PASSED LLB IN 1968 FROM ALLAHABAD UNIVERSITY WITH L.S.G.D,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,1968,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anjani Kumar Mishra,Male,1963-05-17T00:00:00Z,NA,NA,2013-04-12T00:00:00Z,2025-05-16T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,NA,NA,Allahabad University,1988,1989,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Anurag Kumar,Male,1951-12-19T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2013-12-18T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Arun Tandon,Male,1955-12-30T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2017-12-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN SCIENCE IN THE YEAR 1977 AND LAW IN THE YEAR 1980 FROM ALLAHABAD UNIVERSITY,Allahabad University,Science,Allahabad University,1980,1980,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Arvind Kumar Mishra- I,Male,1961-07-02T00:00:00Z,NA,NA,2014-02-03T00:00:00Z,2023-07-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,Allahabad University,1982,1984,Uttar Pradesh,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Arvind Kumar Tripathi,Male,1956-03-10T00:00:00Z,Uttar Pradesh,NA,2008-05-05T00:00:00Z,2018-03-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW FROM ALLAHABAD UNIVERSITY IN THE YEAR 1979-80,NA,NA,Allahabad University,1979,1981,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Arvind Kumar Tripathi,Male,1953-01-09T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2015-01-08T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Jeevaji University,1973,1974,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ashish Trivedi,Male,1947-11-24T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,2002-02-18T00:00:00Z,Yes,No,Allahabad,Yes,Patna,1994-02-14T00:00:00Z,Allahabad,1999-12-17T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Lucknow University,Arts,University of Lucknow,1972,1972,Uttar Pradesh,No,No,No,Allahabad,Allahabad,Patna,Allahabad,NA
Ashok Desai,Male,1942-06-24T00:00:00Z,NA,NA,1986-11-21T00:00:00Z,2003-03-31T00:00:00Z,No,Yes,Bombay,Yes,Allahabad,1999-03-08T00:00:00Z,NA,NA,NA,NA,Yes,Uttrakhand,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,NA,NA,Arts,NA,NA,1969,Maharashtra,No,No,No,Allahabad,Bombay,Allahabad,NA,NA
Ashok Bhushan,Male,1956-07-05T00:00:00Z,Uttar Pradesh,NA,2001-04-24T00:00:00Z,2021-07-04T00:00:00Z,No,No,Allahabad,Yes,Kerala,2014-07-09T00:00:00Z,NA,NA,NA,NA,Yes,Kerala,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED ARTS FROM ALLAHABAD UNIVERSITY,Allahabad University,NA,ALLAHABAD UNIVERSITY,1979,1979,Uttar Pradesh,No,No,No,Allahabad,Allahabad,Kerala,NA,NA
Ashok Kumar,Male,1958-09-04T00:00:00Z,Uttar Pradesh,NA,2017-02-20T00:00:00Z,2020-09-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1983,1985,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ashok Kumar Roopanwal,Male,1948-12-24T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-12-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1966 AND PASSED LLB IN THE YEAR 1969,NA,SCIENCE,NA,1969,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ashok Kumar Srivastava,Male,1937-07-01T00:00:00Z,NA,NA,1994-09-29T00:00:00Z,1999-07-01T00:00:00Z,No,No,Allahabad,Yes,Delhi,1994-10-18T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Lucknow University,1957,NA,NA,No,Yes,No,Allahabad,Allahabad,Delhi,NA,NA
Ashok Pal Singh,Male,1954-05-26T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2016-05-25T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Meerut University,1977,1980,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ashok Srivastava,Male,1951-12-29T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-12-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,1973,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ashwani Kumar Mishra,Male,1968-11-16T00:00:00Z,NA,NA,2014-02-03T00:00:00Z,2030-11-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,Kirori Mal College,Econimics,"Campus Law Center, University of Delhi",1993,1993,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Ashwani Kumar Singh,Male,1954-06-15T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2016-06-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,Yes,No,No,No,NA,NA,NA,Lucknow University,1978,1979,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Attau Masoodi,Male,1963-08-03T00:00:00Z,NA,NA,2014-02-03T00:00:00Z,2025-08-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Government High School Trehgam,Sri Pratap College J&K,Science,Lucknow University,1988,1989,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
B. Amit Sthalekar,Male,1958-12-25T00:00:00Z,Uttar Pradesh,NA,2011-11-21T00:00:00Z,2020-12-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,Allahabad University,1983,1983,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bachchoo Lal,Male,1959-07-03T00:00:00Z,NA,NA,2013-01-22T00:00:00Z,2021-07-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bala Krishna Narayana,Male,1958-07-27T00:00:00Z,Uttar Pradesh,NA,2008-05-05T00:00:00Z,2020-07-26T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW IN THE YEAR 1983 FROM ALLAHABAD UNIVERSITY,NA,NA,ALLAHABAD UNIVERSITY,1983,1983,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Balbir Singh Chauhan,Male,1949-07-02T00:00:00Z,NA,NA,1995-04-05T00:00:00Z,2008-07-15T00:00:00Z,No,No,Allahabad,Yes,Rajasthan,1997-07-17T00:00:00Z,Allahabad,2003-03-13T00:00:00Z,NA,NA,Yes,Orissa,NA,NA,Yes,2009-05-11T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Meerut University,Science,Baras Hindu University,1974,1974,NA,Yes,No,Yes,Allahabad,Allahabad,Rajasthan,Allahabad,NA
