Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Satish Kumar Jain-II,Male,1940-01-24T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2002-01-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,J.V Jain College,Arts,J.V Jain College,not available,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Naseemuddin,Male,1940-06-06T00:00:00Z,Not Available,Not Available,2021-03-25T00:00:00Z,2021-12-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,Commerce,not available,not available,Not Applicable,Not Applicable,No,No,No,Allahabad
Jagdish Chandra Gupta,Male,1940-08-27T00:00:00Z,Not Available,Not Available,1996-03-22T00:00:00Z,2002-08-27T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1962,Uttar Pradesh,No,No,No,Allahabad
Lakshmi Bihari,Male,1941-03-02T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-03-01T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Science,Allahabad University,not available,1969,Uttar Pradesh,No,No,No,Allahabad
Raisul Zaidi,Male,1941-05-01T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2003-04-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1962,Uttar Pradesh,No,No,No,Allahabad
Ramesh Dutt Shukla,Male,1941-05-16T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-05-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,not available,Allahabad
Bhupendra Kumar Rathi,Male,1941-05-25T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-05-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Agra University,Science,Agra University,1961,1962,Uttar Pradesh,No,No,No,Allahabad
Dhani Ram Chaudhary,Male,1941-07-24T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2003-07-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,not available,not available,not available,not available,not available,Allahabad
Onkareshwar Bhatt,Male,1942-03-29T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2004-03-28T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,Allahabad University,not available,1962,Uttar Pradesh,No,Yes,No,Allahabad
Shitla Prasad Srivastava,Male,1942-06-13T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2001-01-04T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,Allahabad University,not available,Not Applicable,Not Applicable,not available,Yes,not available,Allahabad
Uma Shankar Tripathi,Male,1942-07-04T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2004-07-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,Allahabad University,not available,Not Applicable,Not Applicable,No,No,No,Allahabad
Ghanshyam Dass,Male,1942-08-07T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2004-08-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,not available,AGRA UNIVERSITY,1966,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Devendra Gupta,Male,1942-09-03T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2004-09-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,COMMERCE,ALLAHABAD UNIVERSITY,1966,1967,Uttar Pradesh,No,Yes,No,Allahabad
Vishnu Vishnu Sahai,Male,1942-12-30T00:00:00Z,Not Available,Not Available,1994-02-01T00:00:00Z,2004-12-29T00:00:00Z,No,No,Allahabad,Yes,Bombay,1994-02-21T00:00:00Z,Allahabad,2002-04-08T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Uttar Pradesh,No,No,No,Allahabad
Mahendra Pratap Singh,Male,1943-01-03T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-01-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,Science,Gorakhpur University,1965,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Radhey Shyam Tripathi,Male,1943-02-15T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2005-02-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,Allahabad University,1966,not available,not available,No,No,No,Allahabad
Kamal Kishore,Female,1943-03-09T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2005-03-08T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Banaras Hindu University,Arts,Allahabad University,1963,1964,Uttar Pradesh,No,Yes,No,Allahabad
Yogendra Ram Tripathi,Male,1943-07-12T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-07-11T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Gorakhpur University,Commerce,"St. Andrew's College, Gorakhpur",1963,Not Applicable,Not Applicable,No,No,No,Allahabad
Venkteshwar Singh,Male,1943-07-22T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-07-21T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Banaras Hindu University,Arts,GORAKHPUR UNIVERSITY,1963,1963,not available,No,No,No,Allahabad
Khem Karan,Male,1943-08-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2005-07-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,not available,not available,not available,Allahabad
Pranav Chatterji,Male,1943-08-28T00:00:00Z,West Bengal,Not Available,2002-07-05T00:00:00Z,2005-08-27T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,SCIENCE,not available,not available,Not Applicable,Not Applicable,No,No,No,Allahabad
Ramesh Chandra Pandey,Male,1943-08-31T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-08-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1963,1964,not available,No,No,No,Allahabad
Gopal Gupta,Male,1943-11-11T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2005-11-10T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Lucknow University,Arts,LUCKNOW UNIVERSITY,1963,Not Applicable,Not Applicable,No,No,No,Allahabad
Shashi Kant Agarwal,Male,1943-11-15T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,Not Available,No,No,Allahabad,Yes,Jharkhand,2005-01-05T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,not available,Allahabad Universiity,1971,1971,Uttar Pradesh,No,No,No,Allahabad
Dilip Kumar Seth,Male,1943-11-24T00:00:00Z,Not Available,Not Available,1994-12-19T00:00:00Z,2005-11-23T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1995-01-09T00:00:00Z,Calcutta,2000-08-04T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Arts,not available,not available,1968,not available,not available,Yes,No,Allahabad
Mohammed Asghar Khan,Male,1943-12-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2005-11-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,not available,Not Applicable,Not Applicable,No,No,No,Allahabad
Shiv Kishor Keshote,Male,1944-01-01T00:00:00Z,Rajasthan,Not Available,1994-01-31T00:00:00Z,2006-01-03T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,1994-02-17T00:00:00Z,Gujarat,1994-12-13T00:00:00Z,Rajasthan,2001-05-27T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Rajasthan,not available,not available,not available,Allahabad
Narendra Mehrotra,Male,1944-03-01T00:00:00Z,Uttar Pradesh,Not Available,2018-11-22T00:00:00Z,2024-10-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Lucknow University,Arts,LUCKNOW UNIVERSITY,1966,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Chakravarti Mishra,Male,1944-04-03T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2006-04-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1965,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Ram Prasad Yadav,Male,1944-07-15T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2006-07-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,Shashtry,not available,1964,Not Applicable,Not Applicable,No,No,No,Allahabad
Shailendra Saksena,Male,1944-12-24T00:00:00Z,Uttar Pradesh,Not Available,2004-12-03T00:00:00Z,2006-12-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Lucknow University,SCIENCE,LUCKNOW UNIVERSITY,1964,not available,not available,No,No,No,Allahabad
Vijai Bajpai,Male,1945-01-15T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2007-01-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,AGRA UNIVERSITY,1968,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Bhanwar Singh,Male,1945-02-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2007-01-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,not available,not available,1967,Not Applicable,Not Applicable,No,No,Yes,Allahabad
Bharat Agrawal,Male,1945-02-08T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2007-02-07T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,SCIENCE,AGRA UNIVERSITY,1967,Not Applicable,Not Applicable,No,No,No,Allahabad
Ajay Kumar Yog,Male,1945-03-11T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2007-03-10T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Not Available,Not Available,Lucknow University,not available,Lucknow University,1966,1969,Uttar Pradesh,No,Yes,No,Allahabad
Umeshwar Pandey,Male,1945-04-01T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2007-03-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,Not Applicable,Not Applicable,No,Yes,No,Allahabad
Om Prakash Srivastava,Male,1945-06-10T00:00:00Z,Uttar Pradesh,Not Available,2002-07-05T00:00:00Z,2007-06-09T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Lucknow University,not available,Lucknow University,1967,Not Applicable,Not Applicable,No,No,No,Allahabad
Ram Prakash Misra,Male,1945-06-15T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2007-06-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Ewing Christian College,Science,Allahabad Universiity,1969,1969,Uttar Pradesh,No,No,No,Allahabad
Mukteshwar Prasad,Male,1945-07-01T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2008-07-26T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,SCIENCE,LUCKNOW UNIVERSITY,1968,Not Applicable,Not Applicable,No,No,No,Allahabad
Onkar Khandelwal,Male,1945-07-07T00:00:00Z,Uttar Pradesh,Not Available,2004-12-03T00:00:00Z,2007-07-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,Not Applicable,Not Applicable,No,No,No,Allahabad
