Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Cyriac Joseph,Male,Christian,,1947-01-28,Kerala,Kaipuzha in Kottayam District,1994-07-06,2012-01-27,No,No,Kerala,Yes,Delhi High Court,1994-08-05,,,,,Yes,Uttarakhand High Court,Karnataka High Court,,Yes,2008-07-07,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,"St. Margarette’s U.P. School, Kaipuzha and St. George’s High School, Kaipuzha","St. Thomas College, Palai and St. Berchmans’ College, Changanacherry",,"Law College, Trivandrum",,1968,,No,No,No
Rajeev Gupta,Male,Hindu,General,1950-10-10,Madhya Pradesh,Gwalior,1994-09-27,2012-10-10,No,No,Madhya Pradesh,No,,,,,,,Yes,Kerala High Court,Uttarakhand High Court,Chhattisgarh High Court,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,,"Jiwaji University, Gwalior",B.A.,Jiwaji University,,1973,,No,No,No
Vinod Kumar Gupta,Male,Hindu,General,1947-09-10,,,1990-11-07,2009-09-10,No,No,Jammu and Kashmir,Yes,Calcutta High Court,1996-05-06,Jharkhand High Court,2000-11-05,,,Yes,Jharkhand High Court,Himachal Pradesh High Court,Uttarakhand High Court,No,,Bar,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,"GGM Science College, Jammu",,Delhi University,,1970,,No,No,No
Jagdish Singh Khehar,Male,Sikh,General,1952-08-28,,,1999-02-08,2017-08-27,No,No,Punjab and Haryana,No,,,,,,,Yes,Uttarakhand High Court,Karnataka High Court,,Yes,2011-09-13,Bar,No,Yes,Yes,No,Yes,No,,,,Yes,No,,"Govt. College, Chandigarh",B.Sc.,"Punjab University, Chandigarh",1977,1979,,No,No,Yes
Barin Ghosh,Male,Hindu,,1952-06-05,,,1995-07-14,2014-06-04,No,No,Calcutta,Yes,Patna High Court,2005-01-07,,,,,Yes,Jammu and Kashmir High Court,Sikkim High Court,Uttarakhand High Court,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,,,B.Com,,,1978,,No,No,No
Kuttiyil Mathew Joseph,Male,Christian,,1958-06-17,,,2004-10-14,2023-06-16,No,No,Kerala,No,,,,,,,Yes,Uttarakhand High Court,,,Yes,2018-08-07,Bar,No,Yes,No,,,,,,,,,"Kendriya Vidyalaya, Kochi and New Delhi","Loyola College, Chennai",N/A,"Government Law College, Ernakulam",,1982,Delhi,,,
Ramesh Ranganathan,Male,Hindu,,1958-07-28,Delhi,New Delhi,2005-05-26,2020-07-27,No,No,Andhra Pradesh,No,,,,,,,Yes,Hyderabad High Court,Uttarakhand High Court,,No,,Bar,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,N/A,Bangalore University,,1985,Andhra Pradesh,No,Yes,No
Mahesh Chand Jain,Male,Hindu,,1944-10-18,,,1999-02-05,2006-10-17,No,No,Allahabad,Yes,Uttarakhand High Court,2000-11-01,Allahabad High Court,2001-11-09,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,M.Com,,1966,,,No,Yes,Yes
Irshad Hussain,Male,Muslim,,1944-01-02,,,2002-02-28,2006-01-01,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,1968,,,No,No,No
M.M. Ghildiyal,Male,,,1946-01-03,Uttarakhand,"Village Khola, near Srinagar, District Pauri Garhwal",2002-11-18,2008-01-02,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,"high school from Srinagar, district Pauri Garhwal, intermediate from Ranikhet, district Almora",Allahabad University,B.A.,Allahabad University ,,1980,,No,No,No
Rajesh Tandon,Male,Hindu,,1946-07-01,,,2003-07-03,2008-06-30,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,,,,,,1968,,No,No,No
Prakash Chandra Verma,Male,Hindu,,1951-01-12,,,1999-02-05,2013-01-11,No,No,Allahabad (Lucknow Bench),Yes,Uttarakhand High Court,2000-11-09,Allahad High Court,2009-01-20,Patna High Court,2011-04-08,No,,,,No,,Bar,No,Yes,No,Yes,Yes,No,No,No,No,No,No,,Lucknow University,B.Sc ,Lucknow University,,1976,,No,No,No
Jeewan Chandra Singh Rawat,Male,,,1949-05-24,Uttarakhand,Nainital,2004-06-29,2011-05-23,No,No,Uttarakhand,Yes,Jharkhand High Court,2009-10-01,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,"10th,12th from Higher Scondary School, Mukteshwar, Nainital, and GIC Nainital",DSB Govt. College,,Lucknow University,,,,No,No,No
Bipin Chandra Kandpal,Male,,,1948-08-17,,,2004-06-29,2010-08-16,,,Uttarakhand,,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Dehradun,,,Agra University,,1974,,No,No,No
Dharam Veer,Male,,,1951-09-15,Uttarakhand,"Piplia, Tahsil-Bazpur (the then District Nainital), presently District: Udham Singh Nagar",2006-09-23,,Yes,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,No,No,No,No,No,No,No,No,"Udai Raj Hindu College, Kashipur","Meerut University, Meerut (U.P.)",B.Sc. ,Agra University (U.P.),,1974,Uttar Pradesh,No,No,No
Nirmal Yadav,Female,,,1949-03-04,,,2004-11-05,2011-03-03,No,No,Punjab and Haryana,Yes,Uttarakhand High Court,2010-02-11,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,,B.Sc. ,,,1975,Punjab and Haryana ,No,No,Yes
Tarun Agarwala,Male,Hindu,General,1956-03-03,,,2004-01-07,2018-03-02,No,No,Allahabad,Yes,Uttarakhand High Court,2009-09-25,Allahabad High Court,2012-10-03,Meghalaya High Court,2018-02-12,Yes,Meghalaya High Court,,,No,,Bar,No,Yes,No,No,No,No,No,No,No,No,No,,Allahabad University,Arts,Allahabad University ,,1981,,No,No,No
Kalyan Jyoti Sengupta,Male,Hindu,,1953-05-07,,,1997-07-17,2015-05-06,No,No,Calcutta,Yes,Uttarakhand High Court,2012-10-31,,,,,Yes,Andhra Pradesh High Court,,,No,,Bar,No,Yes,No,Yes,No,No,No,No,No,No,No,,,B.Com.,,,1981,,No,No,No
Prafulla Chandra Pant,Male,,,1952-08-30,Uttarakhand,District Pithoragarh,2004-06-29,2017-08-29,No,No,Uttarakhand,No,,,,,,,Yes,Meghalaya High Court,,,Yes,2014-08-13,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Uttarakhand,Allahabad ,B.Sc. ,Lucknow,,1973,Uttar Pradesh,No,No,No
Brahma Singh Verma,Male,,,1952-05-03,Uttarakhand,"Manakpur Adampur, Tahsil Roorkee District, Haridwar",2004-07-15,2014-05-02,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,No,No,No,No,No,"Bhalswa Ganj Inter College and D.A.V. Inter College, Roorkee","D.B.S. College, Dehradun",B.Sc. ,D.A.V College Dehradun,,1976,,No,No,No
Servesh Kumar Gupta,Male,Hindu,General,1956-01-01,Uttar Pradesh,"Khair, District Aligarh",2011-04-21,2017-12-31,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,B.Sc. ,"LL.B. from Agra University, LL.M. from Meerut University (1979)",1976,,,No,No,Yes
Umesh Chandra Dhyani,Male,,,1956-02-14,,,2011-09-13,2018-02-13,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Service,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,,,B.Sc. ,,,,,No,No,No
Vijai Kumar Bist,Male,,,1957-09-17,Uttarakhand,"Lansdown, District Pauri Garhwal",2008-11-01,2019-09-16,No,No,Uttarakhand,No,,,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,"Intermediate College Kanskhet, Pauri Garhwal",,M.A.,Allahabad University ,,1984,Uttar Pradesh,No,Yes,No
Rajiv Sharma,Male,Hindu,,1958-10-08,Himachal Pradesh,Shimla,2007-04-03,2020-10-07,No,No,Himachal Pradesh,Yes,Uttarakhand High Court,2016-09-26,Punjab and Haryana High Court,2018-11-13,,,No,,,,No,,Bar,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,Himachal Pradesh University,,1982,,No,No,No
Alok Singh,Male,,,1959-04-28,Uttarakhand,Roorkee,2009-10-12,2021-04-27,No,No,Uttarakhand,Yes,Punjab and Haryana High Court,2009-12-21,Jharkhand High Court,2012-06-13,Uttarakhand High Court,2013-02-26,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,,"M.S. College, Saharanpur",B.Sc. ,,,1982,,No,No,No
Ravi Vijaykumar Malimath,Male,Hindu,,1962-05-25,,,2008-02-18,2024-05-24,No,No,Karnataka,Yes,Uttarakhand High Court,2020-03-05,Himachal Pradesh High Court,2021-01-07,,,No,,,,No,,Bar,No,Yes,No,Yes,No,No,No,No,No,No,No,,,B.Com. ,,,1987,Karnataka (Bangalore),No,No,No
Sudhanshu Dhulia,Male,,ST,1960-08-10,,,2008-11-01,2022-08-09,No,No,Uttarakhand,No,,,,,,,Yes,Guwahati High Court,,,No,,Bar,No,Yes,Yes,No,Yes,No,No,No,No,No,No,"Dehradun, Allahabad and Lucknow",Allahabad University,Masters in Modern History,,1986,,,No,Yes,No
Lok Pal Singh,Male,,,1959-02-15,Uttarakhand,"Village Mohanpur-Mohammadpur, Tehsil Roorkee (then District Saharanpur) now District Haridwar",2017-05-19,2021-02-14,No,No,Uttarakhand,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,"Primary education from Cantonment Primary School, Roorkee Cantt. High School and Intermediate from BSM Intermediate College, Roorkee","Meerut University, Meerut",,"Meerut University, Meerut",,,,No,No,No
