Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Gurbax Rai Majithia,Male,Sikh,General,14 Apr 1934,,,4-May-1988,14-Apr-1994,No,No,Punjab and Haryana,Yes,Bombay,28-Apr-1994,,,,,No,,,,No,,Bar,No,Yes,,NA,No,Yes,,,,,,,,B.Com,,,1960,Punjab and Haryana,No,No,No
Har Mohinder Kaur Sandhu,Female,Sikh,General,,,,15-Mar-1991,27-Nov-1994,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
Harjit Singh Bedi,Male,Sikh,General,5-Sep-1946,Punjab Province of British India (now Pakistan),Sahiwal (formerly known as Montgomery),15-Mar-1991,12-Jan-2007,No,No,Punjab and Haryana,No,,,,,,,Yes,Bombay,,,Yes,12-Jan-2007,Bar,No,Yes,Yes,NA,No,Yes,,,,,No,"Bishop Cotton School, Shimla",,,Cambridge,1962,1972,Punjab and Haryana,Yes,No,Yes
Harphul Singh Brar,Male,Sikh,General,,,,15-Mar-1991,29-Jul-1999,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,,,
Hemant Gupta,Male,Hindu,General,17-Oct-1957,,,2-Jul-2002,8-Feb-2016,No,No,Punjab and Haryana,Yes,Patna,8-Feb-2016,Madhya Pradesh,18-Mar-2017,,,Yes,Patna ,Madhya Pradesh,,Yes,2-Nov-2018,Bar,No,Yes,,NA,No,Yes,,,,,No,,,,NA,,1980,Punjab and Haryana ,No,No,No
I.P. Vasishth,Male,Hindu,General,,,,20-Jun-1994,17-Oct-2000,No,Yes,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
Iqbal Singh,Male,Sikh,,,,,29-Jan-1996,31-Mar-2000,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jagdish Chandra Verma ,Male,Hindu,General,,,,8-Apr-1996,15-Dec-2001,No,No,Punjab and Haryana,Yes,Rajasthan,13-May-1996,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jagdish Singh Khehar,Male,Sikh,General,28-Aug-1952,British Kenya (now Kenya),Nairobi,8-Feb-1999,12-Sep-2011,No,No,Punjab and Haryana,Yes,,,,,,,Yes,Uttarakhand,Karnataka,,Yes,13-Sep-2011,Bar,No,Yes,Yes,NA,Yes,Yes,Yes,No,Yes,Yes,,,"Government College, Chandigarh",Science,"Panjab University, Chandigarh",1977,1979,Punjab and Haryana,No,No,Yes
Jai Singh Sekhon,Male,Sikh,General,,,,8-Mar-1988,4-May-1994,No,No,Punjab and Haryana ,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Jasbir Singh,Male,Sikh,General,1-Aug-1952,,,2-Jul-2001,31-Jul-2014,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,,,,,,,,"govt. Model School, Jalandhar","Khalsa College, Jalandha",,"Punjabi University, Patiala",,1979,Punjab and Haryana,No,Yes,No
Jaswant Singh,Male,Hindu,General,23-Feb-1961,,,5-Dec-2007,22-Feb-2023,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,Yes,,,,,No,"Oak Grove School, Jharipani, Mussoorie/Model School, Rohtak",,Arts,"Maharishi Dayanand University, Rohtak",,1986,Punjab and Haryana,No,Yes,No
Jawahar Lal Gupta,Male,Hindu,General,,,,15-Mar-1991,22-Jan-2004,No,No,Punjab and Haryana,Yes,Kerala,28-Oct-2002,,,,,Yes,Kerala,,,No,,Bar,No,Yes,Yes,No,No,No,,,,,,,,,,,1963,Punjab and Haryana,No,No,No
J.B. Garg,Male,Hindu,General,,,,2-Nov-1989,5-Aug-1995,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Joginder Singh Sidhu,Male,Sikh,General,30-Jan-1937,,,20-Jun-1994,30-Jan-1999,No,No,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,Rajasthan,11-Oct-1996,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,Law,,,1963,Punjab and Haryana,No,No,No
J.S. Narang,Male,Sikh,General,,,,14-May-1999,1-Jan-2007,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Kamajit Singh Garewal,Male,Sikh,General,,,,25-May-2000,29-Sep-2009,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,,,,,,,,,,,,"Mayo College, Ajmer",,,,,,,,,
Karam Chand Puri,Male,Hindu,General,20-Sep-1953,Punjab,Payal in District Ludhiana,15-Oct-2007,19-Sep-2015,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,Yes,Yes,Yes,,,"MLN School, Yamuna Nagar","Bikram College of Commerce, Patiala",B.Com.,"Punjabi University, Patiala",1982,1982,Punjab and Haryana,No,Yes,No
K.C. Gupta,Male,Hindu,General,,,,25-May-2000,2-Feb-2004,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Kiran Anand Lall,Female,Hindu,,,,,2-Jul-2002,14-Mar-2007,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
K.K. Srivastva,Male,Hindu,General,,,,10-Oct-1994,27-Aug-2000,No,No,,Yes,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Krishna Murari,Male,Hindu,General,9-Jul-1958,,,7-Jan-2004,22-Sep-2019,No,No,Allahabad,No,,,,,,,Yes,Punjab and Haryana,,,Yes,23-Sep-2019,Bar,No,Yes,,NA,Yes,No,Yes,,Yes,,,,,,"Allahabad University, Allahabad",,1981,Allahabad,No,No,No
K.S. Kumaran,Male,Hindu,General,,,,1-Nov-1994,23-Dec-2001,No,No,,No,,,,,,,No,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,
Kumaran Sreedharan,Male,Hindu,,4-Jun-1936,,,10-Sep-1985,4-Jun-1998,No,No,Kerala,No,,,,,,,Yes,Punjab and Haryana,Gujarat,,No,,Service,Yes,Yes,NA,No,,No,,,,,,,,,,,1959,Kerala,,,
Mahesh Grover,Male,Hindu,General,4-Jun-1957,,,22-Mar-2006,3-Jun-2019,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,No,Yes,,,,,No,,,,,,1981,Punjab and Haryana,No,No,No
Mahesh Mittal Kumar,Male,Hindu,General,5-Jan-1953,,,2-Jul-2001,4-Jan-2015,No,No,Punjab and Haryana,No,,,,,,,Yes,Jammu and Kashmir,,,No,,Bar,No,Yes,,NA,,Yes,,,,,Yes,,"Punjabi University, Patiala ",Law,"Punjabi University, Patiala",1977,1977,Punjab and Haryana,Yes,No,Yes
Mangat Rai Agnihotri,Male,Hindu,General,,,,14-Nov-1986,24-Dec-1993,No,No,Punjab and Haryana,,,,,,,,,,,,No,,,,,,NA,,,,,,,,,,,,,,,,,
Manmohan Singh Liberhan,Male,Hindu,General,11-Nov-1938,Chandigarh,Chandigarh,11-Feb-1987,5-Jul-1997,No,No,Punjab and Haryana ,Yes,Madras,7-Jul-1997,Andhra Pradesh,28-Feb-1998,,,Yes,Madras,Andhra Pradesh,,No,,Bar,No,Yes,,NA,No,Yes,,,,,No,,,,,,1962,Punjab and Haryana,No,No,No
Mehtab Singh Gill,Male,Sikh,General,,,,14-May-1999,29-Oct-2010,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,"The Lawrence School, Sanawar",,,,,,,,,
M.L. Singhal,Male,Hindu,General,,,,29-Jan-1996,24-Mar-2003,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
M.M. Aggarwal,Male,Hindu,General,,,,5-Nov-2004,19-Jan-2008,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Mohinder Mohan Singh Bedi,Male,Sikh,General,9-Oct-1956,,,1-Apr-2006,8-Oct-2018,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,No,No,,,,,,,,,,,1980,Punjab and Haryana,No,No,Yes
Moti Lal Koul ,Male,Hindu,General,,,,14-Oct-1991,20-Nov-1997,No,No,Jammu and Kashmir,Yes,Punjab and Haryana,1-Nov-1994,,,,,No,,,,No,,Bar,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
Mukul Mudgal,Male,Hindu,General,,,,2-Mar-1998,3-Jan-2011,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,,,No,,Bar,No,Yes,,NA,,No,,,,,,"Modern School, Barakhamba Road, New Delhi","Hindu College, Delhi University",B.Sc. (Hons),"Law Faculty, Delhi University",,1973,Delhi,No,No,No
Naresh Chand Jain,Male,Jain,General,,,,27-Jun-1988,5-Apr-2001,No,No,Punjab and Haryana,No,,,,,,,Yes,Gauhati,,,No,,,,,,NA,,,,,,,,,,,,,,,,,
Nauvdip Kumar Sodhi,Male,Hindu,General,,,,15-Mar-1991,29-Nov-2005,No,No,Punjab and Haryana,Yes,Kerala,5-Apr-2004,Karnataka ,19-Nov-1004,,,Yes,Kerala,Karntaka,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,,,,,1965,Punjab and Haryana,No,No,No
N.C. Khichi,Male,Hindu,General,,,,29-Jan-1996,24-Dec-2000,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Nirmal Singh,Male,Sikh,Dalit,6-Sep-1947,Punjab,Rampur-Fatehgarh Sahib,25-May-2000,6-Sep-2009,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,18-Mar-2005,,,,,No,,,,No,,Service,Yes,Yes,NA,No,,,,,,,,National High School (Balahri Kalan),,BA ,Panjab University,1972,,,No,No,No
Nirmal Yadav,Female,Hindu,OBC,,,,5-Nov-2004,3-Mar-2011,No,No,Punjaba and Haryana,Yes,Uttrakhand,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,,Yes,,,,,,,,,,,1975,Punjab and Haryana,,,
N.K. Agarwal,Male,Hindu,General,,,,29-Apr-1996,12-Dec-1999,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
N.K. Kapoor,Male,Hindu,General,,,,15-Mar-1991,30-Nov-1997,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,,No,,,,,,,,,,,,,,,,,,No,No,No
N.K. Sud,Male,Hindu,General,,,,14-May-1999,14-Jan-2006,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Palanisamy Sathasivam,Male,Hindu,OBC,27-Apr-1949,Tamil Nadu,Kadappanallur,8-Jan-1996,20-Aug-2007,No,No,Madras,Yes,Punjab and Haryana,20-Apr-2007,,,,,No,,,,Yes,21-Aug-2007,Bar,No,Yes,,NA,Yes,No,Yes,Yes,Yes,,,,,BA,,,1973,Madras,No,No,No
Permod Kohli,Male,Hindu,General,1-Mar-1951,Jammu and Kashmir,RajourI,7-Jan-2003,28-Feb-2013,No,No,Jammu and Kashmir,Yes,Jharkhand,4-May-2006,Punjab and Haryana,10-May-2007,,,Yes,Sikkim,,,No,,Bar,No,Yes,Yes,NA,No,Yes,No,,No,No,No,,"G.G.M. Science College, Jammu",B. Sc.,University of Jammu,1972,1972,Jammu and Kashmir,No,No,No
P.K. Jain,Male,Jain,General,25-Feb-1936,,,10-Nov-1994,24-Feb-1998,No,No,Delhi ,Yes,Punjab and Haryana,9-Jan-1995,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,,,,,,,,,,,1958,Haryana,No,No,No
Prem Krishnan Palli,Male,Hindu,OBC,26-Oct-1936,,,14-Feb-1994,26-Oct-1998,No,No,Punjab and Haryana,Yes,Himachal Pradesh,2-Apr-1996,,,,,No,,,,No,,Bar,No,Yes,,NA,,No,,,,,No,,,B.A.,,,1961,Punjab and Haryana,No,No,No
Pritam Pal,Male,Hindu,General,3-Jun-1947,Punjab,Kandroli village,5-Nov-2004,2-Jun-2009,No,No,Punjaba and Haryana,No,,,,,,,No,,,,No,,Service,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,,"Punjab University, Chandigarh",,"Kurukshetra University, Kurukshetra",1972,,Haryana,No,No,No
Rajesh Bindal,Male,Hindu,General,16-Apr-1961,Haryana,Ambala,22-Mar-2006,15-Nov-2018,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,19-Nov-2018,Calcutta,5-Jan-2021,,,Yes,Jammu and Kashmir,Calcutta,,No,,Bar,No,Yes,,NA,Yes,No,,,,,No,,Kurukshetra University,"B.Com., LL.B",Kurukshetra University,1985,1985,Punjab and Haryana,No,Yes,No
Rajiv Bhalla,Male,Hindu,General,4-Mar-1954,,,9-Jan-2004,3-Mar-2016,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,,,,,1978,Punjab and Haryana,No,No,No
Rakesh Kumar Jain,Male,Jain,General,1-Oct-1958,,,5-Dec-2007,30-Sep-2020,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,,B.com.,,,1982,Punjab and Haryana,No,No,No
Ram Prakash Sethi,Male,Hindu,General,7-Jul-1937,Jammu and Kashmir (present-day Pakistan),Mirpur,30-May-1986,6-Jan-1999,No,No,Jammu and Kashmir,Yes,Punjab and Haryana,18-Oct-1993,,,,,Yes,Karnataka,,,Yes,8-Jan-1999,Bar,No,Yes,,NA,,Yes,,,,,No,,,,,,1961,Jammu and Kashmir,No,No,No
Ranjan Gogoi,Male,Hindu,OBC,18-Nov-1954,Assam,Dibrugarh,28-Feb-2001,23-Apr-2012,No,No,Gauhati,Yes,Punjab and Haryana,9-Sep-2010,,,,,Yes,Punjab and Haryana,,,Yes,23-Apr-2012,Bar,No,Yes,,NA,,,,,,,,"Don Bosco School, Dibrugarh",St Stephen’s College,History,Delhi University,,1978,Gauhati,No,No,Yes
Ravinder Singh Mongia,Male,Sikh,General,10-Jun-1940,,,15-Jun-1990,10-Jun-2002,No,No,Punjab and Haryana,Yes,Gauhati ,21 Jun 2001,,,,,Yes,Gauhati,,,No,,Bar,No,Yes,,NA,No,No,,,,,,,,,"Panjab University, Chandigarh",1963,1964,Punjab and Haryana,No,No,No
R.C. Kathuria,Male,Hindu,General,,,,25-May-2000,20-Apr-2003,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
R.K. Nehru,Male,Hindu,General,,,,28-Sep-1992,13-Oct-1996,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,22-Oct-1994,,,,,No,,,,No,,,Yes,No,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
R.L. Anand,Male,Hindu,General,,,,29-Jan-1996,1-Apr-2003,No,No,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Sambhu Charan Datta,Male,Hindu,General,1-Sep-1936,,,17-Nov-1994,31-Aug-1998,No,No,Calcutta,Yes,Punjab and Haryana,8-Dec-1994,Orissa,2-Apr-1996,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,LLB,,,,West Bengal,No,No,No
Sanjay Kishan Kaul,Male,Hindu,General,26-Dec-1958,,,3-May-2001,15-Feb-2017,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,Madras,,Yes,17-Feb-2017,Bar,No,Yes,Yes,NA,Yes,No,Yes,,Yes,,,"Modern School, New Delh","St. Stephens College, Delhi University",Economics (Hons.),"The Campus Law Centre, Delhi University",1982,1982,Delhi,No,No,No
Sarojnei Saksena,Female,Hindu,General,,,,27-Sep-1994,12-Jul-1998,No,No,Madhya Pradesh,Yes,Punjab and Haryana,10-Oct-1994,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Sat Pal,Male,Hindu,,15-Jul-1936,,,19-Mar-1991,14-Jul-1998,No,No,Delhi ,Yes,Punjab and Haryana,1-Sep-1994,,,,,No,,,,No,,Bar,No,Yes,,NA,Yes,No,,,,,No,,,Law,,,1970,Delhi,No,Yes,No
Satish Kumar Mittal,Male,Hindu,General,15-Apr-1954,Haryana,Narnaul,2-Jul-2002,5-Mar-2016,No,No,Punjab and Haryana,Yes,Rajasthan,5-Mar-2016,,,,,Yes,Rajastha,,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,"Govt.  College,  Narnual",B.A. (Hons.) ,Kurukshetra University,,1978,Punjab and Haryana ,No,No,Yes
Savinder Singh Sodhi,Male,Sikh,General,9-Apr-1933,,,18-Jun-1982,31-Jan-1994,No,No,Punjab and Haryana,Yes,Allahabad,29-Apr-1994,,,,,Yes,Allahabad,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,,,Law,,,,Punjab and Haryana,No,No,No
Sharad Sakharam Sudhalkar,Male,Hindu,General,22-Nov-1939,,,12-Oct-1994,22-Nov-2001,No,No,Gujarat,Yes,Punjab and Haryana,3-Nov-1994,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,,No,,,,,,,,,,,1962,Gujarat,No,No,No
Sharan Jeet Singh Grewal,Male,Sikh,General,,,,4-May-1988,26-Feb-1995,No,No,Punjab and Haryana ,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Shiavax Jal Vazifdar,Male,Zoroastrianism,General,4-May-1956,,,22-Jan-2001,3-May-2018,No,No,Bombay,No,,,,,,,Yes,Punjab and Haryana,,,No,,Bar,No,Yes,,NA,,No,,,,,,Rishi Valley School,"St. Xavier's College, Bombay",,"Hinduja Law College, Bombay",,1980,Maharashtra,,,
Shrikant C Malte,Male,Hindu,,30-Nov-1936,,,6-Oct-1994,2-Nov-1998,No,No,Bombay,Yes,Punjab and Haryana,1-Nov-1994,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,,,,,,,,,,,1960,Maharashtra,No,Yes,Yes
S.S. Grewal,Male,Sikh,General,,,,2-Jul-2002,3-Oct-2004,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Sudarshan Dayal Agarwala,Male,Hindu,General,15-Jan-1932,,,17-Nov-1977,15-Jan-1994,No,No,Allahabad,No,,,,,,,Yes,Punjab and Haryana,,,No,,Bar,No,Yes,,NA,,,,,,,,Mary's Convent Agra,St. Peter's College Agra,,,,1955,Allahabad,,,
Sudhakar Panditrao Kurdukar,Male,Hindu,,16-Jan-1935,,,25-Apr-1978,27-Mar-1996,No,No,Bombay,No,,,,,,,Yes,Punjab and Haryana,,,Yes,29-Mar-1996,Bar,No,Yes,,NA,Yes,No,,,,,,,,,,,1961,Bombay,,,
Surinder Sarup,Male,Hindu,General,21-Apr-1938,,,20-Jun-1994,21-Apr-2000,No,No,Punjab and Haryana,Yes,Patna,21-Jul-1994,Himachal Pradesh,6-Apr-1996,,,No,,,,No,,Service,Yes,Yes,NA,Yes,,No,,,,,,,,,,,1962,Punjab and Haryana,No,No,No
